Unnamed: 0,segment_id,polygon_id,class_id,pixels_cluster,alphas
42,42,0,6,[1 1 0 0 0 1 0 0 1 0 0 0 0 0 0],"[0.32, 0.69]"
43,43,0,6,[0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 1 1],"[0.46, 0.55]"
44,44,0,6,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.41, 0.6]"
45,45,0,6,[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.38, 0.63]"
46,46,0,6,[1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0],"[0.33, 0.68]"
47,47,0,6,[1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 1],"[0.62, 0.39]"
48,48,0,6,[1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.23, 0.78]"
49,49,0,5,[1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0],"[0.49, 0.52]"
50,50,0,6,[0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0],"[0.46, 0.55]"
51,51,0,6,[0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1],"[0.56, 0.45]"
52,52,0,6,[0 0 1 1 0 1 1 0 1 1],"[0.47, 0.54]"
53,53,0,6,[0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1],"[0.59, 0.42]"
54,54,0,6,[0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.45, 0.56]"
55,55,0,6,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],"[0.49, 0.52]"
56,56,0,6,[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],"[0.55, 0.46]"
57,57,0,3,[0 0 1 1 1 1 1 1 1 1 1 1],"[0.47, 0.54]"
58,58,0,6,[0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0],"[0.55, 0.46]"
59,59,0,6,[1 1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.74, 0.27]"
60,60,0,5,[1 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0],"[0.6, 0.41]"
61,61,0,3,[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.65, 0.36]"
62,62,0,6,[0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1],"[0.29, 0.72]"
63,63,0,6,[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.65, 0.36]"
64,1293,0,5,[1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 0],"[0.14, 0.87]"
65,1294,0,6,[0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.49, 0.52]"
66,1295,0,6,[1 1 1 1 0 1 1 0 1 1 0 0 1 0 0],"[0.41, 0.6]"
67,1296,0,6,[1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0],"[0.49, 0.52]"
68,1425,0,5,[0 1 1 0 0 1 1 1 1 0 0 1 0 0 0],"[0.59, 0.42]"
69,1426,0,6,[1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0],"[0.39, 0.62]"
70,1427,0,4,[1 1 0 0 1 1 0 0 1 1 0 0 1 0 0],"[0.34, 0.67]"
71,1428,0,4,[1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],"[0.3, 0.71]"
72,1429,0,5,[0 0 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1],"[0.37, 0.64]"
73,1430,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],"[0.43, 0.58]"
74,1431,0,3,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.45, 0.56]"
75,1432,0,3,[0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.53, 0.48]"
76,1433,0,3,[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],"[0.54, 0.47]"
77,1434,0,6,[1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0],"[0.48, 0.53]"
78,1435,0,5,[0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1],"[0.55, 0.46]"
79,1436,0,5,[1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1],"[0.51, 0.5]"
80,1437,0,6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],"[0.37, 0.64]"
81,1438,0,6,[0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1],"[0.47, 0.54]"
82,1439,0,6,[0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1],"[0.49, 0.52]"
83,1826,0,6,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0],"[0.5, 0.51]"
84,1827,0,6,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.58, 0.43]"
85,1828,0,6,[1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1],"[0.25, 0.76]"
86,1829,0,5,[0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1],"[0.64, 0.37]"
87,1830,0,5,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],"[0.62, 0.39]"
88,1831,0,5,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],"[0.8, 0.21]"
89,1832,0,6,[1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0],"[0.25, 0.76]"
90,1833,0,6,[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[0.58, 0.43]"
91,1834,0,5,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1],"[0.34, 0.67]"
92,1835,0,4,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.71, 0.3]"
93,1836,0,6,[1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.27, 0.74]"
94,1837,0,4,[1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0],"[0.21, 0.8]"
95,1838,0,6,[0 0 0 0 0 0 0 0 0 1 1 0 1 1],"[0.64, 0.37]"
96,1839,0,6,[0 0 0 0 0 0 0 1 1 1 1 1 1 1],"[0.29, 0.72]"
97,1840,0,4,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],"[0.54, 0.47]"
98,1841,0,5,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.64, 0.37]"
99,1842,0,5,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.54, 0.47]"
100,1843,0,4,[1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.48, 0.53]"
101,1844,0,4,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.48, 0.53]"
102,1845,0,3,[0 0 1 0 0 1 0 0 1 0 0 1],"[0.5, 0.51]"
103,1846,0,3,[0 0 1 1 0 0 1 1 0 0 0 0 0 0],"[0.57, 0.44]"
104,1847,0,6,[1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 1 0],"[0.54, 0.47]"
105,1848,0,6,[1 1 1 1 1 1 1 1 0 0 0 0 0 0],"[0.51, 0.5]"
106,1849,0,6,[1 1 1 1 0 0 0 0 0 0 0 0 0],"[0.31, 0.7]"
107,1850,0,6,[0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1],"[0.47, 0.54]"
108,1851,0,6,[0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1],"[0.46, 0.55]"
109,1852,0,6,[0 0 1 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1],"[0.58, 0.43]"
110,1853,0,3,[0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0],"[0.34, 0.67]"
111,1854,0,5,[0 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 1],"[0.56, 0.45]"
112,1855,0,6,[1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0],"[0.8, 0.21]"
113,1856,0,6,[1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0],"[0.48, 0.53]"
114,1857,0,6,[0 0 0 0 1 1 1 1],"[0.38, 0.63]"
115,1858,0,5,[1 1 0 0 1 1 0 0 1 1 1 1],"[0.13, 0.88]"
116,1859,0,6,[0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0],"[0.25, 0.76]"
117,1860,0,6,[0 0 0 0 0 1 0 0 1 1 1 1 0 0],"[0.62, 0.39]"
118,1861,0,6,[1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],"[0.62, 0.39]"
119,1862,0,3,[0 0 1 1 0 0 1 1 0 1 1 0 1 1],"[0.49, 0.52]"
120,1863,0,6,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.56, 0.45]"
121,1864,0,5,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],"[0.72, 0.29]"
122,1865,0,3,[1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.69, 0.32]"
123,1866,0,4,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.66, 0.35]"
124,1867,0,4,[1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.38, 0.63]"
125,1868,0,5,[1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1],"[0.61, 0.4]"
126,2547,0,6,[0 0 1 1 1 0 1 1 0 0 0 0],"[0.52, 0.49]"
127,2548,0,6,[0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 0 0 0],"[0.52, 0.49]"
128,2570,0,3,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.49, 0.52]"
129,2571,0,6,[1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1],"[0.58, 0.43]"
130,2638,0,6,[0 0 0 0 0 0 0 0 0 0 0 0 1 1],"[0.71, 0.3]"
131,2639,0,6,[0 0 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1],"[0.55, 0.46]"
132,2640,0,4,[1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],"[0.46, 0.55]"
133,2641,0,6,[0 0 1 1 0 0 0 1 1 0 0 1 1 0 1 1 0],"[0.49, 0.52]"
134,2642,0,6,[1 1 1 0 0 0 0 1 1 0 0 0 0],"[0.52, 0.49]"
135,2643,0,6,[0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],"[0.62, 0.39]"
136,2644,0,6,[0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.5, 0.51]"
137,2645,0,5,[1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0],"[0.61, 0.4]"
138,2646,0,5,[0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1],"[0.57, 0.44]"
139,2647,0,6,[0 1 0 0 1 1 0 0 1 1 0 1 1 0 1],"[0.33, 0.68]"
140,2648,0,5,[1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 1],"[0.56, 0.45]"
141,2649,0,6,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1],"[0.63, 0.38]"
142,2890,0,6,[0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 1],"[0.47, 0.54]"
143,2891,0,6,[1 1 1 1 1 1 1 0 0 0 0],"[0.44, 0.57]"
144,2892,0,6,[1 0 0 0 0 0 0 0 0 0 1 1 1 1],"[0.45, 0.56]"
145,2893,0,6,[0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1],"[0.55, 0.46]"
146,2894,0,6,[0 0 0 0 0 0 0 0 1 1 0 0 1 1],"[0.44, 0.57]"
147,2895,0,6,[1 0 0 1 1 0 0 0 1 1 0 0 0],"[0.65, 0.36]"
148,2896,0,6,[1 0 0 1 1 1 1 1 0 0 0 1 0 0 1 1],"[0.61, 0.4]"
149,2897,0,5,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0],"[0.94, 0.07]"
150,2898,0,6,[0 0 0 1 0 0 0 1 1 0 0 0 0 0],"[0.75, 0.26]"
151,2899,0,6,[1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0],"[0.38, 0.63]"
152,2900,0,4,[0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],"[0.68, 0.33]"
153,2901,0,4,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.55, 0.46]"
154,2902,0,5,[0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.64, 0.37]"
155,2903,0,5,[0 0 1 1 0 0 1 1 0 0 1 1 1],"[0.25, 0.76]"
156,2904,0,5,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.82, 0.19]"
157,2905,0,4,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0],"[0.3, 0.71]"
158,2906,0,4,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.35, 0.66]"
159,2907,0,3,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.43, 0.58]"
160,2908,0,3,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.46, 0.55]"
161,2909,0,3,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.53, 0.48]"
162,2910,0,3,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.61, 0.4]"
163,2911,0,6,[0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 1],"[0.3, 0.71]"
164,2912,0,6,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.6, 0.41]"
165,2913,0,6,[0 0 0 0 0 1 1 1 0 0 1 1],"[0.55, 0.46]"
166,2914,0,6,[1 1 1 0 0 1 1 0 0 0 1 0 0 0 0],"[0.64, 0.37]"
167,2915,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1],"[0.37, 0.64]"
168,2916,0,3,[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],"[0.55, 0.46]"
169,2917,0,6,[0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0],"[0.27, 0.74]"
170,2918,0,3,[1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.42, 0.59]"
171,2919,0,5,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.48, 0.53]"
172,2920,0,6,[1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 1 1],"[0.61, 0.4]"
173,2921,0,6,[0 1 1 1 1 1 1 0 0 0 1 0 0 0],"[0.58, 0.43]"
174,2922,0,5,[0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1],"[0.66, 0.35]"
175,2923,0,5,[0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1],"[0.52, 0.49]"
176,2924,0,6,[1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1],"[0.52, 0.49]"
177,2925,0,3,[0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0],"[0.63, 0.38]"
178,2926,0,3,[1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0],"[0.65, 0.36]"
179,2927,0,6,[0 1 1 1 1 1 1 1 0 0 0 0 0],"[0.44, 0.57]"
180,2928,0,6,[0 0 0 0 0 0 0 0 1 1 1 1],"[0.53, 0.48]"
181,2929,0,3,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"[0.26, 0.75]"
182,2930,0,3,[0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1],"[0.66, 0.35]"
183,2931,0,6,[1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.63, 0.38]"
184,2932,0,5,[1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 1],"[0.58, 0.43]"
185,2933,0,5,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1],"[0.8, 0.21]"
186,2934,0,5,[1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 0],"[0.74, 0.27]"
187,3803,0,6,[0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],"[0.32, 0.69]"
188,3804,0,6,[0 0 0 0 1 1 0 0 1 1],"[0.57, 0.44]"
189,3805,0,6,[1 1 1 0 0 0 0 0 0],"[0.4, 0.61]"
190,3831,0,6,[0 0 0 0 0 1 0 0 0 0 0],"[0.43, 0.58]"
191,3832,0,6,[0 0 0 0 0 0 0 1 1 1 1 1 1],"[0.65, 0.36]"
192,3833,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1],"[0.52, 0.49]"
193,3834,0,3,[0 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0],"[0.54, 0.47]"
194,3923,0,6,[1 0 0 1 1 1 0 0 1 1 0 1 1],"[0.48, 0.53]"
195,3924,0,6,[1 1 1 0 0 0 0 0 0 0],"[0.45, 0.56]"
196,3925,0,6,[1 1 1 0 0 0 0 0 0 0 0 1 0 0 1],"[0.64, 0.37]"
197,3926,0,6,[1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0],"[0.59, 0.42]"
198,3927,0,6,[0 0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0],"[0.3, 0.71]"
199,3928,0,6,[0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0],"[0.54, 0.47]"
200,3929,0,6,[0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0],"[0.48, 0.53]"
201,3930,0,4,[0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.58, 0.43]"
202,3931,0,6,[1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0],"[0.53, 0.48]"
203,3932,0,5,[0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1],"[0.48, 0.53]"
204,3933,0,6,[0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0],"[0.65, 0.36]"
205,3934,0,6,[1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 0],"[0.53, 0.48]"
206,3935,0,5,[1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 0],"[0.7, 0.31]"
207,3936,0,3,[0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 1],"[0.67, 0.34]"
208,4157,0,6,[0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1],"[0.22, 0.79]"
209,4158,0,6,[1 1 1 0 0 1 1 1 1 0 1 1 0 0 0],"[0.6, 0.41]"
210,4159,0,6,[1 1 1 1 1 1 1 0 0 1 0 1 1 0],"[0.41, 0.6]"
211,4160,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0],"[0.37, 0.64]"
212,4161,0,6,[0 0 0 1 1 0 0 1 1 0 0 0 0 0],"[0.36, 0.65]"
213,4162,0,6,[0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0],"[0.57, 0.44]"
214,4163,0,6,[0 0 0 1 0 0 0 1 0 0 0 1],"[0.54, 0.47]"
215,4164,0,6,[1 1 0 0 1 0 0 1 0 0 1 0 0],"[0.43, 0.58]"
216,4165,0,6,[0 0 1 0 0 1 1 1 1 1 1 1 1 1 1],"[0.53, 0.48]"
217,4166,0,4,[0 0 0 1 1 0 0 1 1 0 0 1 1],"[0.45, 0.56]"
218,4167,0,4,[1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 1],"[0.67, 0.34]"
219,4168,0,4,[1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0],"[0.27, 0.74]"
220,4169,0,5,[0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0],"[0.4, 0.61]"
221,4170,0,5,[1 1 1 1 1 1 1 1 1 0 0 1 1 0 0],"[0.27, 0.74]"
222,4171,0,5,[1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1],"[0.22, 0.79]"
223,4172,0,3,[0 0 1 1 0 0 1 1 1 1 1 1 1],"[0.36, 0.65]"
224,4173,0,3,[1 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 0],"[0.39, 0.62]"
225,4174,0,4,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],"[0.49, 0.52]"
226,4175,0,5,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],"[0.57, 0.44]"
227,4176,0,3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],"[0.64, 0.37]"
228,4177,0,5,[0 0 0 1 1 0 0 0 0 1 0 0 0 0 1],"[0.5, 0.51]"
229,4178,0,6,[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],"[0.64, 0.37]"
230,4179,0,6,[0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1],"[0.65, 0.36]"
231,4180,0,6,[0 0 0 0 0 0 0 0 0 0 1 1 1 1],"[0.45, 0.56]"
232,4181,0,6,[1 1 1 0 0 1 1 1 0 0 1 1 1 1],"[0.46, 0.55]"
233,4182,0,6,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1],"[0.36, 0.65]"
234,4183,0,6,[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],"[0.54, 0.47]"
235,4184,0,6,[0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1],"[0.7, 0.31]"
236,4185,0,6,[0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1],"[0.7, 0.31]"
237,4186,0,5,[1 1 1 1 1 1 1 1 0 0 0],"[0.5, 0.51]"
238,4187,0,3,[1 1 1 1 0 0 1 1 0 0 1 1 0 0 0 1],"[0.52, 0.49]"
239,4188,0,6,[1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 1],"[0.49, 0.52]"
240,4189,0,5,[1 0 0 1 0 0 1 1 0 0 1 1 0 0],"[0.29, 0.72]"
241,4190,0,5,[0 0 1 1 0 1 1 0 0 1 1 0 0 1 0],"[0.67, 0.34]"
242,4191,0,5,[0 0 0 0 0 0 0 1 0 0 1 1 0 1 1],"[0.29, 0.72]"
